method,control,mean_err,median_err,max_err,time_s,mem_mb
QuadGK,0.03162277660168379,0.07744002278916734,0.0005767523186380741,1.5283206101023268,0.0059429,2.782832145690918
QuadGK,0.010000000000000002,0.02999623841469607,0.00038489678375353,1.5283206101023268,0.0073229,2.932307243347168
QuadGK,0.0031622776601683794,0.009760870429689933,0.00032680688369890465,0.9997686284260161,0.009138,3.390711784362793
QuadGK,0.001,0.0029338358139351707,0.00010255271190851012,0.9997686284260161,0.010735,3.884211540222168
QuadGK,0.00031622776601683794,0.0013183336472345113,2.7551881334630934e-5,0.9997701888436232,0.0123044,4.0869550704956055
QuadGK,0.0001,0.0006514499189753644,1.1117152616924031e-5,0.9997701888436232,0.0192529,4.343165397644043
QuadGK,3.1622776601683795e-5,8.275458122451868e-6,7.581931068090242e-6,3.887256683254847e-5,0.0233599,4.349519729614258
QuadGK,1.0e-5,4.498559911790684e-6,3.7903928822302646e-6,1.3564341425631454e-5,0.0349046,6.1500396728515625
QuadGK,3.162277660168379e-6,1.8221152435694831e-6,1.6447781741035783e-6,6.814659599729822e-6,0.0440506,7.8762969970703125
QuadGK,1.0e-6,1.1815973662825107e-6,6.562166264822977e-7,5.965909470662112e-6,0.0629334,8.85987377166748
QuadGK,3.162277660168379e-7,3.27909259909831e-7,1.7348101322145482e-7,4.8332982145460335e-6,0.0795558,10.896929740905762
QuadGK,1.0000000000000001e-7,1.0524156573543664e-7,5.98721731082108e-8,4.847311025901746e-6,0.1246306,20.953481674194336
QuadGK,3.162277660168379e-8,4.323020507013275e-8,2.1446554088200287e-8,1.8732192863524233e-7,0.1828584,25.541550636291504
QuadGK,1.0e-8,1.1803641050966984e-8,6.270422514553786e-9,6.00034693043483e-8,0.2586616,32.29697799682617
QuadGK,3.1622776601683795e-9,4.271883045081637e-9,1.7924074446895588e-9,2.232654860989669e-8,0.3318264,35.9116735458374
QuadGK,1.0e-9,1.373040523083846e-9,7.235185783827092e-10,1.3650597985304103e-8,0.3883536,36.87675857543945
QuadGK,3.1622776601683795e-10,1.2615041962427131e-9,6.943352559574123e-10,1.3987915714608334e-8,0.4478905,56.051947593688965
QuadGK,1.0e-10,1.4500296595387762e-9,8.066950440976939e-10,1.4082265575865449e-8,0.466574,72.0645751953125
QuadGK,3.1622776601683794e-11,1.4732471603773333e-9,7.826052028647723e-10,1.400265015050195e-8,0.5068437,85.19183921813965
QuadGK,1.0e-11,1.4344986390413261e-9,7.759647369098843e-10,1.3984164493052731e-8,0.627742,100.2012243270874
BS3,0.1,0.07963946919459333,0.02733527272489633,1.0575186099873144,0.0049213,4.074209213256836
BS3,0.03162277660168379,0.03514479922436638,0.01121416135519504,0.9993826897690399,0.0057725,4.074193954467773
BS3,0.010000000000000002,0.010551558572451802,0.002686741429427264,0.9996512446173291,0.0068558,4.074209213256836
BS3,0.0031622776601683794,0.003506467288294851,0.0005473935868146595,0.9999329046021712,0.0084248,4.074163436889648
BS3,0.001,0.0009591781794091828,0.0002215482955731929,0.9996833864644459,0.0114881,4.074178695678711
BS3,0.00031622776601683794,0.0007777947856168978,0.00010186263689837549,0.9999121669923348,0.015202,4.074193954467773
BS3,0.0001,0.0006949258668944892,4.544790239169316e-5,0.9998722544130776,0.0187683,4.074193954467773
BS3,3.1622776601683795e-5,3.148991756784195e-5,2.102347647658931e-5,0.00039092721522893115,0.0251642,4.074163436889648
BS3,1.0e-5,1.3289815608960726e-5,8.838725046866891e-6,0.0001678177539750081,0.034565,4.074209213256836
BS3,3.162277660168379e-6,5.703542820303803e-6,3.6187544056875964e-6,5.387385491051333e-5,0.0509606,4.074163436889648
BS3,1.0e-6,2.7383854575029063e-6,1.900364341222982e-6,2.7556288865415723e-5,0.0740115,4.074193954467773
BS3,3.162277660168379e-7,1.257100292143959e-6,8.962535462675447e-7,9.048632152008906e-6,0.1081813,4.074178695678711
BS3,1.0000000000000001e-7,6.843281632701315e-7,4.697561983846299e-7,5.603630033323981e-6,0.1508715,4.074193954467773
BS3,3.162277660168379e-8,3.057089097911747e-7,2.0666967492921628e-7,6.783204464122505e-6,0.2188094,4.074224472045898
BS3,1.0e-8,1.4678523290276303e-7,1.0446599307822879e-7,8.535867639380967e-7,0.3216078,4.074193954467773
BS3,3.1622776601683795e-9,6.778771651977377e-8,4.600461966930425e-8,3.890305819709283e-7,0.4843183,4.074193954467773
BS3,1.0e-9,3.163245170925699e-8,2.1991127141518518e-8,1.826903179846795e-7,0.7468665,4.074209213256836
BS3,3.1622776601683795e-10,1.1511056369623019e-8,5.2033730657541355e-9,8.008733143327618e-8,1.0815076,4.074163436889648
BS3,1.0e-10,4.472430677610051e-9,1.1324923221422978e-9,3.221818367649121e-8,1.524781,4.074209213256836
BS3,3.1622776601683794e-11,1.953551963251865e-9,7.34051264217328e-10,1.6136191938187494e-8,2.3131345,4.074209213256836
BS3,1.0e-11,1.443475040885378e-9,7.684637370886094e-10,1.3834488221675656e-8,3.374487,0.0
Tsit5,0.1,0.20930002874288917,0.0328634452276132,12.993856940113997,0.0063132,3.5614986419677734
Tsit5,0.03162277660168379,0.13056985649368105,0.016153876412302814,8.635283053093557,0.0075721,3.5615291595458984
Tsit5,0.010000000000000002,0.07120182233731363,0.008647171105750084,1.0122301900964197,0.0085354,3.5614986419677734
Tsit5,0.0031622776601683794,0.03402791205169254,0.0034571139677412877,1.0003793830323788,0.0096275,3.5614986419677734
Tsit5,0.001,0.013192360735811428,0.0008940079558583669,0.9997349201736339,0.0112281,3.5614986419677734
Tsit5,0.00031622776601683794,0.005090729560879465,0.0003393561056898031,0.9998118844395933,0.0130393,3.5614986419677734
Tsit5,0.0001,0.0008725076968533721,9.58813714666551e-5,0.9965457568144855,0.0154703,3.5614986419677734
Tsit5,3.1622776601683795e-5,0.0006953130055640211,3.3728317494596816e-5,0.9997085463881268,0.0199856,3.5614986419677734
